#U/V	I/mA	Delta U/V	Delta I/mA
-0.1	-0.03	0.001	0.005
-0.2	-0.03	0.001	0.005
-0.5	-0.035	0.001	0.005
-1	-0.04	0.001	0.005
-1.6	-0.045	0.001	0.005
-2	-0.05	0.001	0.005
-3	-0.055	0.001	0.005
-4	-0.065	0.001	0.005
-5	-0.07	0.001	0.005
-6	-0.08	0.001	0.005
-7	-0.085	0.001	0.005
-8	-0.095	0.001	0.005
-9	-0.1	0.001	0.005
-10	-0.11	0.001	0.005
-11	-0.12	0.001	0.005
-12	-0.13	0.001	0.005
-13	-0.14	0.001	0.005
-14	-0.155	0.001	0.005
-14.5	-0.16	0.001	0.005
0.22	84	0.001	1
0.21	66	0.001	1
0.2	48	0.001	1
0.19	34	0.001	1
0.18	22	0.001	0.5
0.17	16.5	0.001	0.5
0.16	11.5	0.001	0.5
0.15	8	0.001	0.5
0.14	5.5	0.001	0.5
0.13	3.7	0.001	0.1
0.12	2.5	0.001	0.1
0.11	1.8	0.001	0.1
0.1	1.2	0.001	0.1
0.09	0.82	0.001	0.01
0.08	0.56	0.001	0.01
0.07	0.36	0.001	0.01
0.06	0.24	0.001	0.01
0.05	0.16	0.001	0.005
